customer_id,first_name,last_name,email,signup_date
1,First1,Last1,user1@example.com,2022-01-01
2,First2,Last2,user2@example.com,2022-01-02
3,First3,Last3,user3@example.com,2022-01-03
4,First4,Last4,user4@example.com,2022-01-04
5,First5,Last5,user5@example.com,2022-01-05
6,First6,Last6,user6@example.com,2022-01-06
7,First7,Last7,user7@example.com,2022-01-07
8,First8,Last8,user8@example.com,2022-01-08
9,First9,Last9,user9@example.com,2022-01-09
10,First10,Last10,user10@example.com,2022-01-10
11,First11,Last11,user11@example.com,2022-01-11
12,First12,Last12,user12@example.com,2022-01-12
13,First13,Last13,user13@example.com,2022-01-13
14,First14,Last14,user14@example.com,2022-01-14
15,First15,Last15,user15@example.com,2022-01-15
16,First16,Last16,user16@example.com,2022-01-16
17,First17,Last17,user17@example.com,2022-01-17
18,First18,Last18,user18@example.com,2022-01-18
19,First19,Last19,user19@example.com,2022-01-19
20,First20,Last20,user20@example.com,2022-01-20
21,First21,Last21,user21@example.com,2022-01-21
22,First22,Last22,user22@example.com,2022-01-22
23,First23,Last23,user23@example.com,2022-01-23
24,First24,Last24,user24@example.com,2022-01-24
25,First25,Last25,user25@example.com,2022-01-25
26,First26,Last26,user26@example.com,2022-01-26
27,First27,Last27,user27@example.com,2022-01-27
28,First28,Last28,user28@example.com,2022-01-28
29,First29,Last29,user29@example.com,2022-01-29
30,First30,Last30,user30@example.com,2022-01-30
31,First31,Last31,user31@example.com,2022-01-31
32,First32,Last32,user32@example.com,2022-02-01
33,First33,Last33,user33@example.com,2022-02-02
34,First34,Last34,user34@example.com,2022-02-03
35,First35,Last35,user35@example.com,2022-02-04
36,First36,Last36,user36@example.com,2022-02-05
37,First37,Last37,user37@example.com,2022-02-06
38,First38,Last38,user38@example.com,2022-02-07
39,First39,Last39,user39@example.com,2022-02-08
40,First40,Last40,user40@example.com,2022-02-09
41,First41,Last41,user41@example.com,2022-02-10
42,First42,Last42,user42@example.com,2022-02-11
43,First43,Last43,user43@example.com,2022-02-12
44,First44,Last44,user44@example.com,2022-02-13
45,First45,Last45,user45@example.com,2022-02-14
46,First46,Last46,user46@example.com,2022-02-15
47,First47,Last47,user47@example.com,2022-02-16
48,First48,Last48,user48@example.com,2022-02-17
49,First49,Last49,user49@example.com,2022-02-18
50,First50,Last50,user50@example.com,2022-02-19
51,First51,Last51,user51@example.com,2022-02-20
52,First52,Last52,user52@example.com,2022-02-21
53,First53,Last53,user53@example.com,2022-02-22
54,First54,Last54,user54@example.com,2022-02-23
55,First55,Last55,user55@example.com,2022-02-24
56,First56,Last56,user56@example.com,2022-02-25
57,First57,Last57,user57@example.com,2022-02-26
58,First58,Last58,user58@example.com,2022-02-27
59,First59,Last59,user59@example.com,2022-02-28
60,First60,Last60,user60@example.com,2022-03-01
61,First61,Last61,user61@example.com,2022-03-02
62,First62,Last62,user62@example.com,2022-03-03
63,First63,Last63,user63@example.com,2022-03-04
64,First64,Last64,user64@example.com,2022-03-05
65,First65,Last65,user65@example.com,2022-03-06
66,First66,Last66,user66@example.com,2022-03-07
67,First67,Last67,user67@example.com,2022-03-08
68,First68,Last68,user68@example.com,2022-03-09
69,First69,Last69,user69@example.com,2022-03-10
70,First70,Last70,user70@example.com,2022-03-11
71,First71,Last71,user71@example.com,2022-03-12
72,First72,Last72,user72@example.com,2022-03-13
73,First73,Last73,user73@example.com,2022-03-14
74,First74,Last74,user74@example.com,2022-03-15
75,First75,Last75,user75@example.com,2022-03-16
76,First76,Last76,user76@example.com,2022-03-17
77,First77,Last77,user77@example.com,2022-03-18
78,First78,Last78,user78@example.com,2022-03-19
79,First79,Last79,user79@example.com,2022-03-20
80,First80,Last80,user80@example.com,2022-03-21
81,First81,Last81,user81@example.com,2022-03-22
82,First82,Last82,user82@example.com,2022-03-23
83,First83,Last83,user83@example.com,2022-03-24
84,First84,Last84,user84@example.com,2022-03-25
85,First85,Last85,user85@example.com,2022-03-26
86,First86,Last86,user86@example.com,2022-03-27
87,First87,Last87,user87@example.com,2022-03-28
88,First88,Last88,user88@example.com,2022-03-29
89,First89,Last89,user89@example.com,2022-03-30
90,First90,Last90,user90@example.com,2022-03-31
91,First91,Last91,user91@example.com,2022-04-01
92,First92,Last92,user92@example.com,2022-04-02
93,First93,Last93,user93@example.com,2022-04-03
94,First94,Last94,user94@example.com,2022-04-04
95,First95,Last95,user95@example.com,2022-04-05
96,First96,Last96,user96@example.com,2022-04-06
97,First97,Last97,user97@example.com,2022-04-07
98,First98,Last98,user98@example.com,2022-04-08
99,First99,Last99,user99@example.com,2022-04-09
100,First100,Last100,user100@example.com,2022-04-10
